Parc_Id,Address Full_c,Parc_Prop_Class,Parc_Forc_Year,Parc_Prop_Assmt,Parc_Minimum_Bid,Cof_Area_Name,Parc_Str_Reivest_Area,Parc_BrownField,Website Publish End Date,Flyer Created,Flyer Published,Constant Contact Sched,Parc_Year_Built,Legal Description,FH_Status,parc_SHOW__PID::Showing Date,Offer Deadline,FH_Asking Price,Parc_Asking_Price,GCLB Owned,Parc_LRC_Sold,R4R Status,Tbl_Prop_Cat_Meaning,A_parc_CP__PID Interest::Adopt Date,A_parc_CP__PID Interest::Adopt_Void_Date
4104385006," CHURCHILL AVE
FLINT, MI 48506",402,2019,1600,771.49,Traditional Neighborhood,,A,,,,,,THRIFT ADDITION LOT 41,,,,,0,,,,Vacant Lot,,
4636403009," E MOORE ST
FLINT, MI 48505",402,2023,,784.48,,,A,,,,,,DEWEY HOMESTEAD ADDITION LOT 300,,,,,,,,,,,
4729127023," POLLY ST
FLINT, MI 48505",402,2019,900,666.18,Green Neighborhood,,A,,,,,,WEBSTER WOODS LOT 80.,,,,13000,0,,,,,,
4002426001,"1009 W DAYTON ST
FLINT, MI 48504",401,2019,7200,2562.06,Green Neighborhood,,A,,,,,1919,"MODERN HOUSING CORPORATION ADDITION LOT 12, BLK 27.",Needs Cleanout,,,5000,0,,,,,,
4625327001,"101 E PIPER AVE
FLINT, MI 48505",401,2022,8200,5548.92,Green Neighborhood,,A,,,,,1970,SUBURBAN GARDENS LOT 74,Needs Cleanout,,,11000,0,,,,Bundle-Occupied/Sell,,
1424578048,"1087 W DOWNEY AVE
FLINT, MI 48505-1464",401,2024,,2066.46,,,A,03/10/2026,02/17/2026,2/17/2026,02/18/2026,1950,LOT 943 CRESTLINE SEC 24 T8N R6E,Reviewing Offers,02/24/2026,,16000,,,,,,,
4010282012,"1119 DONALDSON ST
FLINT, MI 48504",401,2022,11100,11279.56,City Corridor,,A,,,,,1971,CIVIC MANOR NO. 1 LOT 711,Needs Cleanout,,,18000,0,,,,Bundle-Occupied/Sell,,
4023126007,"1127 KNAPP AVE
FLINT, MI 48503",401,2022,12100,10655.1,Traditional Neighborhood,,A,,,,,1922,CORUNNA HEIGHTS LOT 169,Needs Cleanout,,,12000,0,,,,,,
4636403008,"116 E MOORE ST
FLINT, MI 48505-5370",401,2024,,5463.6,,,A,,,,,1924,DEWEY HOMESTEAD ADDITION LOT 298,Needs Cleanout,,,10000,,,,,,,
4012301036,"1201 VINCENT AVE
FLINT, MI 48503-1229",401,2024,550,2558.05,Green Neighborhood,,A,,,,,1938,SWAYZE-KELLY MACKIN ROAD ADDITION LOT 3,Needs Cleanout,01/27/2019,,7000,0,,,,,,
4001259006,"122 E BAKER ST
FLINT, MI 48505",402,2003,0,4545.89,Green Neighborhood,,B,,,,,,STONE-MACDONALD-KAUFMANN CENTRAL ADDITION LOT 6.,,,,,,,,,Vacant Lot,06/03/2009,6/15/2012
1119552145,"1236 E CHARLES AVE
FLINT, MI 48505",401,2025,,15053.06,,,A,,,,,,,Needs Pictures,,,15000,,,,,,,
4001259008,"126 E BAKER ST
FLINT, MI 48505-4928",401,2024,,2582.19,,,A,,,,,1919,STONE-MACDONALD-KAUFMANN CENTRAL ADDITION LOT 7.,Cleaned Out,,,10900,,,,,,,
4001255028,"127 E TAYLOR ST
FLINT, MI 48505-4965",401,2024,,1605.38,,,A,03/10/2026,02/17/2026,2/17/2026,02/18/2026,1926,HILLCREST LOT 698,Reviewing Offers,02/23/2026,,10000,,,,,,,
1424552256,"1294 W YALE AVE
FLINT, MI 48505",401,2023,3100,3472.26,,,A,,,,,,LOT 755 EXCEPT N 20 FT NORTHGATE HEIGHTS,Needs Cleanout,,,,0,,,,,,
4024482008,"1305 PETTIBONE AVE
FLINT, MI 48507",401,2025,,5462.76,,,A,,,,,0,,Needs Pictures,,,,,,,,,,
4625179027,"137 E RUTH AVE
FLINT, MI 48505-2746",401,2024,,2885.8,,,A,03/17/2026,02/25/2026,2/25/2026,,1971,ARDMORE LOT 853,Scheduled,03/03/2026,,18000,,,,,,,
4636255027,"139 E STEWART AVE
FLINT, MI 48505",401,2019,5600,1498.34,Green Neighborhood,,A,11/26/2025,11/20/2025,11/20/2025,11/07/2024,1946,FLINT PARK ALLOTMENT LOT 397,Reviewing Offers,11/25/2025,,7200,0,,,,,,
4023109023,"1402 STOCKER AVE
FLINT, MI 48503-6701",401,2024,,4384.49,,,A,,,,,1926,CHEVROLET SUBDIVISION LOT 456,Needs Cleanout,,,19000,,,,,,,
4108105004,"1414 ILLINOIS AVE
FLINT, MI 48506",401,2018,7200,3986.13,Green Neighborhood,,A,01/27/2026,01/23/2026,1/23/2026,,1914,"KEARSLEY PARK SUBDIVISION OF PART OF SECS. 7 & 8, T7N, R7E. W 40 FT OF LOT 221",Reviewing Offers,01/26/2026,,8000,0,,,,Sell,,
