Parc_Id,Address Full_c,Parc_Prop_Class,Parc_Forc_Year,Parc_Occupied,Parc_Prop_Assmt,Parc_Minimum_Bid,Parc_BrownField,Zoning,Showings week,Website Publish End Date,Parc_Year_Built,Legal Description,FH_Cleanout,Offer Deadline,FH_Asking Price,Parc_Asking_Price,GCLB Owned,Parc_LRC_Sold,R4R Status,Tbl_Prop_Cat_Meaning,A_parc_CP__PID Interest::Adopt Date,A_parc_CP__PID Interest::Adopt_Void_Date
4731376030," ADDISON ST
FLINT, MI 48505",402,2004,,300,396.63,B,,10/18/2023,,,STEWART'S PLAT LOT 75.,x,10/30/2023,2000,,,p,,,,
4130203022," CRAWFORD ST
FLINT, MI 48507",402,2017,,200,672.63,A,,05/19/2022,,,NEWCOMBE PLACE NO. 1 LOT 662,x,05/31/2022,3500,0,Yes,p,,,,
4730126029," E BUNDY AVE
FLINT, MI 48505",402,2011,,200,391.98,A,,,,,BELLEVIEW LOT 259,,,,0,,,,Bundle-Occupied/Sell,,
4636253009," E FLINT PARK BLV
FLINT, MI 48505",402,2005,,900,429.96,C,,07/21/2023,,,FLINT PARK ALLOTMENT LOT 448.,x,07/31/2023,2500,,,,,,,
4106478024," E HAMILTON AVE
FLINT, MI 48506",402,2019,,1500,670.41,A,,12/01/2023,,,"RIVERSIDE LOT 9, BLK 2",x,12/11/2023,4500,0,,,,,,
4636429023," E MYRTLE AVE
FLINT, MI 48505",402,2004,,300,397.47,B,,,,,PASADENA. LOT 223.,,,,,,,,Vacant Lot,,
4636229010," E PHILADELPHIA BLV
FLINT, MI 48505",402,2018,,200,533.33,A,,,,,"BOULEVARD HEIGHTS LOT 48, BLK 2.",,,,0,,,,Vacant Lot,,
4730462041," E PIERSON RD
FLINT, MI 48505",402,2008,,200,489.26,A,,12/03/2021,,,OAK KNOLL NO. 1. LOT 534 EXC SLY 10.0 FT.,x,12/14/2021,3500,0,,,,,,
4730354035," E RIDGEWAY AVE
FLINT, MI 48505",402,2016,,300,662.77,A,,05/06/2022,,,OAK KNOLL LOT 62.,x,05/16/2022,2500,0,,,,,,
4625282023," E RUSSELL AVE
FLINT, MI 48505",402,2005,,200,606.48,C,,,,,ROBINWOOD LOT 160,,,,,,,,,,
